LTspice 24.0.9 for Windows
Circuit: * C:\Users\s\Documents\GitHub\LTspice\26-buck\07-ferrite_core_loss_max_temp_non-sinsoidal.asc
Start Time: Mon Apr 28 16:51:31 2025
solver = Normal
Maximum thread count: 4



Direct Newton iteration for .op point succeeded.
.step amp=1



.step amp=11



.step amp=21



.step amp=31



.step amp=41



.step amp=51



.step amp=61



.step amp=71



.step amp=81



.step amp=91
tnom = 27
temp = 27
method = modified trap
.step amp=100


Measurement: ind_avg_power
  step	AVG(i(vsns)*v(lp,ln))	FROM	TO
     1	3.23272e-07	0	5e-05
     2	0.0152425	0	5e-05
     3	0.201503	0	5e-05
     4	0.735835	0	5e-05
     5	1.6585	0	5e-05
     6	2.91685	0	5e-05
     7	4.60254	0	5e-05
     8	6.78835	0	5e-05
     9	9.48493	0	5e-05
    10	12.7363	0	5e-05
    11	16.2167	0	5e-05

Measurement: max_ind_voltage
  step	MAX(v(lp,ln))	FROM	TO
     1	1	0	5e-05
     2	11	0	5e-05
     3	21	0	5e-05
     4	31	0	5e-05
     5	41	0	5e-05
     6	51	0	5e-05
     7	61	0	5e-05
     8	71	0	5e-05
     9	81	0	5e-05
    10	91	0	5e-05
    11	100	0	5e-05

Measurement: max_bac
  step	MAX(v(bac))	FROM	TO
     1	0.00376042	0	5e-05
     2	0.0413646	0	5e-05
     3	0.0789687	0	5e-05
     4	0.116613	0	5e-05
     5	0.154034	0	5e-05
     6	0.192269	0	5e-05
     7	0.230776	0	5e-05
     8	0.266508	0	5e-05
     9	0.304547	0	5e-05
    10	0.343006	0	5e-05
    11	0.37677	0	5e-05

Measurement: max_avg_power
  step	MAX(v(avrgp))	FROM	TO
     1	0.000131376	0	5e-05
     2	0.0594382	0	5e-05
     3	0.309153	0	5e-05
     4	0.828705	0	5e-05
     5	1.69439	0	5e-05
     6	2.94981	0	5e-05
     7	4.66337	0	5e-05
     8	6.86109	0	5e-05
     9	9.58409	0	5e-05
    10	12.8795	0	5e-05
    11	16.3884	0	5e-05

Total elapsed time: 2.614 seconds.

